agent_id,cluster_baseline_utility,slate_utility,zero_shot_utility,contextless_zero_shot_utility,unit_cost
user15072,3.49994044591366,3.11915229549533,2.99683695015277,1.99029168642358,3.00008166233738
user15118,3.99999999506171,2.01406361374416,1.22270013190112,1.0000000000001,2.18242553306362
user15728,4.9890130669994,4.77729974591651,3.00669285034135,1.99995462171007,4.88079705865728
user14718,3.22266655028629,4.99999997161719,3.99726512501767,2.95257496243889,4.07573549777775
user72801,3.99593123318651,3.32082104986493,3.00226163872839,2.00116951033664,3.01065163282563
user16624,2.88079707372028,2.99898921395055,3.90465474702269,2.50000000127115,4.00651333214156
user16022,3.37754032352189,3.09533292364581,4.9999999752955,2.99145787103263,3.85195381845612
user16271,3.96267595558396,3.11904674230731,3.92414181993251,1,3.81757445501924
user72690,4.43782313950536,3.9770440625911,2.22270010856317,2.85195280741645,2.9999826620102
user15574,3.01403243009028,2.99409183334677,3.0953465781098,2.67917877777265,3.9399148772169
user72790,3.04740163403759,4.02593844693636,3.32082121911068,2.99994959798519,4.006396907133
user15450,1.99982246665193,3.00427422959028,4.00448618100631,2.99542578243186,3.01401823798296
user14770,3.99539087232839,3.99197525573651,3.00024016250594,3.01796477229421,4.88079702530915
user16388,4.00504060223558,3.88083592084622,4.77729948339032,2.04742587622482,3.11920253968362
user16130,2.18242553245998,3.00587571234941,4.95257413173542,2.98901412622549,3.93249318669655
user74540,3.00116694925057,3.22270015030062,3.99478277653418,3.98901370154247,3.99852978391762
user15732,3.99999999891094,3.00046873607647,2.97967093489843,1,2.99754038384075
user15953,2.99883099396633,3.01797832633573,2.99951800450129,2.03732688357444,2.98901306432352
user72735,3.50000048569609,4.77729919221945,3.99999627336271,3.0259573619948,3.99368711736484
user72635,2.99785657977253,3.99977333281319,2.00001006173317,1.00000000206115,3.49999651954405
user73430,2.03732688355495,3.73105818337909,2.09534945535999,1.00048785711865,3.22268615260979
user15685,4.32000377849353,4.49995046097918,4.99142250998141,3.03731389869553,3.7310595834464
user16350,3.01798576904222,3.98600241738413,3.99179258629836,3.07584677191066,3.99883591172874
user16006,3.99689336768288,3.97972588007336,2.99410040988856,2.77729987800392,3.03732684236269
user15669,3.99691212716624,4.0124149550747,2.95257412441662,3.06008638762979,3.99142865814351
user15483,2.5621765014987,4.88077266983285,2.00192673304218,3.0014050798605,3.37753936678994
user15826,2.99331256968489,4.99998526735698,2.99682766356149,2.95257413885402,3.0000495393305
user16393,3.00247062863474,3.56209216925656,2.97702284217374,2.99974897084212,3.56217645637318
user72653,3.99942429875618,3.96267355210858,3.03732677228499,2.99763627355001,3.97068913405064
user73546,2.26894142098156,3.02297537531838,2,2.01406361538033,2.01098694061834
user14976,2.81757448720477,2.99999395565503,1.99999929448191,1.67917879916032,2.99682731913381
user16572,1.99999999621148,3.00273487571135,2.01098694060014,1.97068791601251,2.00002425882662
user14869,2.0011693469302,3.00208661443134,2.00407013771325,1.99977006473429,3.99868971672686
user73385,2.37754066932104,2.99865725336438,2.904650529102,3.00013847704157,2.37754067349639
user15069,2.43782349869224,4.43782333014106,2.97068778975941,2.90465054061577,1.99993663394434
user74439,2.95257413536011,2.73105856312402,2.06008662173576,2.0140636199892,2.26894142135242
user74595,2.99981131194337,3.03729573224413,2.06008664453923,1.99330736190429,3.99029158168793
user72640,2.00116950949194,1.99987660599799,1.9241418968779,2.90465063436322,1.99999329403146
user16460,1.00280092717008,3.98901389165168,2.99830064866288,3.99999997155409,2.99909001665606
user15012,2.320821287489,2.43782354572964,2.00089212616783,1.97068777295241,2.32082130738265
user16641,2.99593050987912,2.32082130744708,1.99962001776428,1.99970404288168,3.00000613072972
user16610,3.32083438279404,3.77730011623447,2.67917869568704,2.99904261527399,3.95258883411758
user15582,2.98409373940659,3.9892742177769,2.00000613230901,1.99592986228726,2.62245933127951
user15776,2.7549150100239,2.18242551400812,2.22270013164148,2.00015842814392,2.98593637666807
user14922,3.97069149258735,3.9993817857914,3.00088351550241,3.00132079975169,3.01798586550637
user16580,1.00000137095669,3.26894065428608,1.90465054618429,2.00006336605566,2.00460956892408
user73593,1.99408894126528,3.98901561466108,1.90465054515954,2.49999999989721,2.00150118145636
user73038,2.90465054513107,3.9996889494614,2.00521981939271,2.22270015123823,2.11920293247179
user15942,3.14804670064134,3.85195280094562,2.00970425236395,3.00091105107867,2.96267312565347
user16571,1.99849908755268,3.81757459286237,2.00006605209009,2.99989532595491,3.01406136392806
user73964,4.98901310608381,4.99998856262532,3.26894142777984,3.00240657153126,3.99593050987016
user73073,4.77729896787207,4.07581304896842,4.99999709844611,3.43782354573381,3.90465066232317
user14958,3.67917871090216,3.49999992099427,3.00001129311663,2.98593637718069,2.0229773671692
user74129,3.00460757636673,3.99966465004955,2.03732688770347,2.00218270558292,2.0000008180818
user72878,4.6791571210381,4.07585816212918,4.97068776905914,4.99966465024033,4.99999995390345
user72646,4.95791229189709,4.00099687500536,3.67917872263037,3.0002392478449,1.18242552828075
user74243,3.00008153082501,4.73105857960465,2.99974359474842,2.11920291257494,4.85195279730643
user74000,4.37754059412486,4.81757445906721,2.98201379173129,3.06007971355603,1.73105861092372
user73569,2.00407013767839,3.97966779034345,2.00000000888118,3.06008591358122,2.95257412379154
user73138,3.9903062590842,4.00007799669648,3.96267367687888,4.00025659004016,4.02928795187435
user73307,3.99971552151952,4.00316789800979,3.22269163531856,4.00240657183482,4.98901306099016
user16579,2.11920289079464,4.99999744507128,2.96267312565347,3.03732491326535,1.85195280721941
user74214,3.97702957738532,3.999881384084,3.00023050168442,1.99867604509616,1.99987661583677
user73050,4.43782339569021,4.97702267655031,2.99755167714752,3.97068791523612,1.50000001769148
user15771,3.97069390423265,4.99995993930165,3.97967020734977,3.22269968090759,3.03307125690924
user74016,4.9999417125638,4.99919591449982,4.99944722220244,4.03732672097913,3.1480432427844
user15872,4.0005514880711,4.97702263351554,3.0003345867254,2.99142260062355,3.62245936170682
user15214,3.0600719619709,4.0109832139613,3.03732316063741,3.92414236387995,3.85195318835133
user73117,3.95257425355705,3.96267432248856,2.99957038510987,2.02931208651965,1.37754066879815
user73691,5.00000001162145,3.99479657598695,3.99829967106852,4.81757446928654,3.81757448458511
user73969,2.99962257667436,4.99919591419904,3.994154980815,3.00355353937172,1.9875684201669
user73530,4.00061937181718,3.98201383076595,4.99937366614294,4.99999942974954,4.18242481764028
user14769,2.99693621327061,4.99829927985589,3.49999911093658,2.92414182783253,1.99999993979972
user72795,4.00090211159098,4.99986038814935,4.00060077369981,4.01096549880602,4.04742581298699
user16174,3.9999922391177,3.99912620498673,2.99242278983663,2.92414182110506,2.11920290902827
user15173,4.00315375797636,5.00002144492197,4.99999982199875,3.00406591507843,3.00131201523581
user16111,3.37753997322189,4.0014881752446,3.04741892486308,3.01798614280946,1.00001892514877
user14921,3.99142673857537,4.98201379052239,2.98593641808427,3.22267398150063,4.00590907521949
user73737,1,4.73105852695084,3.03732316101521,3.02291911265476,4.1192009668506
user73041,2.0085695999343,4.00969834908192,2.99682788768342,2.96267312564919,1.00000001344041
